task,index,selected,reversed
AntiSac,pe,t,t
AntiSac,mrt,t,t
AntiSac,ies,f,t
CateSwitch,switch_cost_pe,f,t
CateSwitch,switch_cost_mrt,f,t
CateSwitch,switch_cost_ies,t,t
CRT,pe,f,t
CRT,mrt,f,t
CRT,ies,t,t
Filtering,filt_eff,f,f
Filtering,k,t,f
FNRecog,auc,t,f
KRecog,auc,t,f
OSpan,score,t,f
ShiftingColor,switch_cost_pe,f,t
ShiftingColor,switch_cost_mrt,f,t
ShiftingColor,switch_cost_ies,t,t
ShiftNumber,switch_cost_pe,f,t
ShiftNumber,switch_cost_mrt,f,t
ShiftNumber,switch_cost_ies,t,t
spatial_2back,pc,f,f
spatial_2back,mrt,f,t
spatial_2back,ies,f,t
spatial_2back,rcs,f,f
spatial_2back,lisas,f,t
spatial_2back,dprime,t,f
SPST,bps_score,t,f
SPST,auc,f,f
SRT,mrt,t,t
SSpan,score,t,f
StopSignal,pe_stop,f,t
StopSignal,rt_nth,f,t
StopSignal,mssd,f,t
StopSignal,ssrt,t,t
Stroop,con_eff_pe,f,t
Stroop,con_eff_mrt,f,t
Stroop,con_eff_ies,t,t
WM3,pc,f,f
WM3,mrt,f,t
WM3,ies,f,t
WM3,rcs,f,f
WM3,lisas,f,t
WM3,dprime,t,f
Keeptrack,scoreall,t,f
FM,tmt,f,f
FM,fmt,f,t
FM,crt,f,t
Raven,score,f,f
NUM6CPT,mrt,t,t
NUM6CPT,dprime,f,f
VSPLOT24,nc,t,f
