"task","index",selected
"AntiSac","pc",t
"CateSwitch","switch_cost_pe",f
"CateSwitch","switch_cost_mrt",f
"CateSwitch","switch_cost_ies",t
"CRT","pe",f
"CRT","mrt",f
"CRT","ies",t
"Filtering","filt_eff",t
"Filtering","k",f
"FNRecog","auc",t
"KRecog","auc",t
"OSpan","score",t
"ShiftingColor","switch_cost_pe",f
"ShiftingColor","switch_cost_mrt",f
"ShiftingColor","switch_cost_ies",t
"ShiftNumber","switch_cost_pe",f
"ShiftNumber","switch_cost_mrt",f
"ShiftNumber","switch_cost_ies",t
"spatial_2back","dprime",t
"SPST","bps_score",t
"SPST","auc",t
"SRT","mrt",t
"SSpan","score",t
"StopSignal","pe_stop",f
"StopSignal","rt_nth",f
"StopSignal","mssd",f
"StopSignal","ssrt",t
"Stroop","con_eff_pe",f
"Stroop","con_eff_mrt",f
"Stroop","con_eff_ies",t
"WM3","dprime",t
"Keeptrack","scoreall",t
"FM","tmt",t
"FM","fmt",f
"FM","crt",f
"Raven","score",t
